x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
previous,job_student,0.0,classification,True,weighted F1,0.9698030508132135,0.9698338346199981,DecisionTreeClassifier()
previous,job_technician,0.0,classification,True,weighted F1,0.7652658690450294,0.7651666500008368,DecisionTreeClassifier()
previous,job_unemployed,0.0,classification,True,weighted F1,0.961765964343598,0.961765964343598,DecisionTreeClassifier()
previous,marital_divorced,0.0,classification,True,weighted F1,0.8347465140919686,0.8346468713401974,DecisionTreeClassifier()
previous,marital_married,0.0,classification,True,weighted F1,0.5204,0.4488964393433675,DecisionTreeClassifier()
previous,marital_other,0.0,classification,True,weighted F1,0.9976006405124099,0.9976006405124099,DecisionTreeClassifier()
previous,marital_single,0.01,classification,True,weighted F1,0.5890642957416939,0.5912796358116942,DecisionTreeClassifier()
previous,education_basic.4y,0.0,classification,True,weighted F1,0.8459862403714254,0.8459862756098908,DecisionTreeClassifier()
previous,education_basic.6y,0.0,classification,True,weighted F1,0.9159242152927858,0.9159242479843185,DecisionTreeClassifier()
previous,education_basic.9y,0.0,classification,True,weighted F1,0.7824970286331714,0.7824970664849125,DecisionTreeClassifier()
previous,education_high.school,0.0,classification,True,weighted F1,0.6696711944852526,0.6696712377705634,DecisionTreeClassifier()
previous,education_illiterate,0.0,classification,True,weighted F1,0.9991000900270081,0.9991001200480192,DecisionTreeClassifier()
previous,education_other,0.0,classification,True,weighted F1,0.9359724067450179,0.9359724387597609,DecisionTreeClassifier()
previous,education_professional.course,0.0,classification,True,weighted F1,0.8223959552953698,0.8222963622927005,DecisionTreeClassifier()
previous,education_university.degree,0.0,classification,True,weighted F1,0.588,0.5830948371786744,DecisionTreeClassifier()
previous,housing_no,0.0,classification,True,weighted F1,0.5104,0.40496069548733243,DecisionTreeClassifier()
previous,housing_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9659315000281583,DecisionTreeClassifier()
previous,housing_yes,0.0,classification,True,weighted F1,0.5044,0.37956702833988576,DecisionTreeClassifier()
previous,loan_no,0.0,classification,True,weighted F1,0.7506525486764385,0.7506526010288102,DecisionTreeClassifier()
previous,loan_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9659315000281583,DecisionTreeClassifier()
previous,loan_yes,0.0,classification,True,weighted F1,0.78278029386344,0.78278029386344,DecisionTreeClassifier()
previous,contact_cellular,0.0,classification,True,weighted F1,0.5252,0.4949951353586341,DecisionTreeClassifier()
previous,contact_telephone,0.0,classification,True,weighted F1,0.5252,0.4949951353586341,DecisionTreeClassifier()
previous,month_apr,0.0,classification,True,weighted F1,0.9038849111202977,0.9038849111202977,DecisionTreeClassifier()
previous,month_aug,0.0,classification,True,weighted F1,0.7856143319663286,0.7855149705087422,DecisionTreeClassifier()
previous,month_dec,0.0,classification,True,weighted F1,0.9934048506714773,0.9934048909366446,DecisionTreeClassifier()
previous,month_jul,0.0,classification,True,weighted F1,0.7456105217010083,0.7456105217010083,DecisionTreeClassifier()
previous,month_jun,0.0,classification,True,weighted F1,0.8138056593699947,0.8138056958878435,DecisionTreeClassifier()
previous,month_mar,0.0,classification,True,weighted F1,0.9781536818777072,0.978153712550598,DecisionTreeClassifier()
previous,month_may,0.0,classification,True,weighted F1,0.5504,0.5281352140035489,DecisionTreeClassifier()
previous,month_nov,0.0,classification,True,weighted F1,0.8561036164844407,0.8560038377314416,DecisionTreeClassifier()
previous,month_oct,0.0,classification,True,weighted F1,0.972187301907742,0.9721873327667856,DecisionTreeClassifier()
previous,month_sep,0.0,classification,True,weighted F1,0.9796465565847764,0.9796465565847764,DecisionTreeClassifier()
previous,day_of_week_fri,0.0,classification,True,weighted F1,0.7283091591260208,0.7283092128771804,DecisionTreeClassifier()
previous,day_of_week_mon,0.0,classification,True,weighted F1,0.692644755401321,0.6922500742995149,DecisionTreeClassifier()
previous,day_of_week_thu,0.0,classification,True,weighted F1,0.7014489682097045,0.701350301511186,DecisionTreeClassifier()
previous,day_of_week_tue,0.0,classification,True,weighted F1,0.7213619121389842,0.7213619527788551,DecisionTreeClassifier()
previous,day_of_week_wed,0.0,classification,True,weighted F1,0.7119408641563924,0.7119409052766672,DecisionTreeClassifier()
previous,poutcome_failure,0.79,classification,True,weighted F1,0.8537885521885522,0.9698094255732443,DecisionTreeClassifier()
previous,poutcome_nonexistent,1.0,classification,True,weighted F1,0.8086619878035733,1.0,DecisionTreeClassifier()
previous,poutcome_success,0.07,classification,True,weighted F1,0.9531504216194249,0.9563993397711603,DecisionTreeClassifier()
emp.var.rate,age,0.0,regression,True,mean absolute error,8.334,8.435594206956335,DecisionTreeRegressor()
emp.var.rate,campaign,0.0,regression,True,mean absolute error,1.5188,1.7202852945598301,DecisionTreeRegressor()
emp.var.rate,pdays,0.0,regression,True,mean absolute error,34.3472,54.754511376166285,DecisionTreeRegressor()
emp.var.rate,previous,0.0,regression,True,mean absolute error,0.1646,0.2121843238650765,DecisionTreeRegressor()
emp.var.rate,emp.var.rate,1.0,predict_itself,True,,0.0,1.0,
emp.var.rate,cons.price.idx,0.66,regression,True,mean absolute error,0.5086362000000009,0.17343327245955226,DecisionTreeRegressor()
emp.var.rate,cons.conf.idx,0.54,regression,True,mean absolute error,3.7565400000000007,1.716812623297123,DecisionTreeRegressor()
emp.var.rate,euribor3m,0.96,regression,True,mean absolute error,1.341607,0.047196320204877226,DecisionTreeRegressor()
emp.var.rate,nr.employed,0.95,regression,True,mean absolute error,54.77754000000009,2.8542838165035174,DecisionTreeRegressor()
emp.var.rate,subscribed,0.07,classification,True,weighted F1,0.8338834128245893,0.84621669555105,DecisionTreeClassifier()
emp.var.rate,job_admin.,0.0,classification,True,weighted F1,0.6436654404204273,0.6436654851455215,DecisionTreeClassifier()
emp.var.rate,job_blue-collar,0.0,classification,True,weighted F1,0.676487536623845,0.6764875938641238,DecisionTreeClassifier()
emp.var.rate,job_entrepreneur,0.0,classification,True,weighted F1,0.9460336490477644,0.9460336807440198,DecisionTreeClassifier()
emp.var.rate,job_housemaid,0.0,classification,True,weighted F1,0.960873887931908,0.960873919136163,DecisionTreeClassifier()
emp.var.rate,job_management,0.0,classification,True,weighted F1,0.8918827192527243,0.8918827527999239,DecisionTreeClassifier()
